,Unnamed: 0,Pos,"Team.mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar a>span,.mw-parser-output .navbar a>abbr{text-decoration:inherit}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}vte",Pld,W,D,L,GF,GA,GD,Pts,Qualification
0,0,1,Netherlands,2,1,1,0,3,1,+2,4[a],Advance to knockout stage
2,0,1,England,2,1,1,0,6,2,+4,4,Advance to knockout stage
4,0,1,Poland,2,1,1,0,2,0,+2,4,Advance to knockout stage
6,0,1,France (Q),2,2,0,0,6,2,+4,6,Advance to knockout stage
8,0,1,Spain,1,1,0,0,7,0,+7,3,Advance to knockout stage
10,0,1,Belgium,1,1,0,0,1,0,+1,3,Advance to knockout stage
12,0,1,Brazil,1,1,0,0,2,0,+2,3,Advance to knockout stage
14,0,1,Portugal,1,1,0,0,3,2,+1,3,Advance to knockout stage
1,1,2,Ecuador,2,1,1,0,3,1,+2,4[a],Advance to knockout stage
3,1,2,Iran,2,1,0,1,4,6,−2,3,Advance to knockout stage
5,1,2,Saudi Arabia,2,1,0,1,2,3,−1,3,Advance to knockout stage
7,1,2,Australia,2,1,0,1,2,4,−2,3,Advance to knockout stage
9,1,2,Japan,1,1,0,0,2,1,+1,3,Advance to knockout stage
11,1,2,Croatia,1,0,1,0,0,0,0,1[a],Advance to knockout stage
13,1,2,Switzerland,1,1,0,0,1,0,+1,3,Advance to knockout stage
15,1,2,South Korea,1,0,1,0,0,0,0,1[a],Advance to knockout stage
